feature,coefficient,abs_coefficient
log_market_value_current_eur,0.7729771829896496,0.7729771829896496
age_months,0.6683670815061252,0.6683670815061252
contract_length_months,0.0979777128911416,0.0979777128911416
contract_recency_months,0.06186022062203656,0.06186022062203656
competition_id,-0.004890883760537169,0.004890883760537169
main_position,-0.0021653804830571353,0.0021653804830571353
nationality,0.0007700124615682715,0.0007700124615682715
